brand,type,price,available,sold,target
191,28,34.59,10.0,1790.0,0
259,28,39.47,10.0,99.0,0
38,28,29.9,3.0,6.0,0
33,28,59.99,10.0,8.0,0
73,28,20.42,204.0,3525.0,0
102,28,29.99,10.0,223.0,0
356,40,25.42,107.0,4123.0,0
369,28,59.99,6.0,29.0,0
237,28,62.99,2.0,16.0,0
58,40,35.08,10.0,6191.0,0
187,25,95.99,10.0,30.0,0
187,25,49.99,6.0,117.0,0
290,78,30.17,10.0,441.0,0
82,28,37.19,10.0,3080.0,0
231,65,18.79,3.0,22.0,0
369,28,40.0,4.0,602.0,0
58,29,79.99,10.0,7.0,0
156,28,20.44,35.0,7558.0,0
298,28,44.99,7.0,42.0,0
84,25,14.89,10.0,7331.0,0
64,28,23.95,5.0,655.0,0
65,28,43.99,2.0,11.0,0
33,28,59.99,5.0,6.0,0
99,28,52.78,10.0,3759.0,0
357,28,54.9,10.0,10.0,0
99,39,43.33,23.0,280.0,0
27,28,29.45,10.0,355.0,0
103,28,20.0,8.0,22.0,0
26,28,29.99,2.0,62.0,0
114,40,20.48,48.0,620.0,0
279,28,12.0,9.0,29.0,0
78,28,22.09,10.0,332.0,0
191,28,34.38,131.0,2361.0,0
191,28,24.24,251.0,3152.0,0
145,28,21.95,10.0,8.0,0
8,28,39.89,10.0,8.0,0
56,28,18.94,235.0,1804.0,0
185,40,24.51,10.0,601.0,0
211,28,32.99,8.0,238.0,0
82,28,16.95,10.0,15.0,0
361,28,33.99,7.0,149.0,0
58,40,35.73,557.0,2590.0,0
121,28,34.98,10.0,131.0,0
369,28,59.96,4.0,19.0,0
202,28,64.88,5.0,42.0,0
211,28,69.99,9.0,25.0,0
64,40,25.69,11.0,169.0,0
369,28,49.68,10.0,21.0,0
145,28,33.92,10.0,3.0,0
102,28,24.99,10.0,370.0,0
148,51,49.99,10.0,174.0,0
264,40,34.99,6.0,5.0,0
120,28,30.45,8.0,738.0,0
211,69,67.5,10.0,12.0,0
101,40,5.99,5.0,3.0,0
103,28,15.0,10.0,65.0,0
26,28,15.99,9.0,35.0,0
362,28,79.72,10.0,334.0,0
237,40,33.99,3.0,43.0,0
99,40,39.98,10.0,3379.0,0
246,28,44.99,10.0,1647.0,0
211,28,44.95,10.0,14.0,0
217,28,60.37,10.0,9.0,0
58,40,53.99,2.0,10.0,0
361,28,30.99,4.0,89.0,0
231,28,23.9,10.0,2.0,0
202,28,99.99,10.0,20.0,0
64,38,26.43,96.0,5314.0,0
103,28,20.0,2.0,41.0,0
101,45,29.95,10.0,296.0,0
167,39,15.52,26.0,129.0,0
303,40,45.99,10.0,201.0,0
26,28,29.99,9.0,14.0,0
151,28,27.31,10.0,5.0,0
100,28,38.99,3.0,122.0,0
303,28,45.92,10.0,3009.0,0
70,28,12.99,15.0,36.0,0
210,28,26.99,10.0,44.0,0
185,28,58.61,10.0,770.0,0
210,69,86.99,10.0,1385.0,0
361,28,54.0,4.0,26.0,0
265,28,5.99,196.0,32.0,0
282,28,24.39,123.0,5558.0,0
64,28,22.99,10.0,347.0,0
214,28,21.98,10.0,278.0,0
279,28,76.99,2.0,13.0,0
82,28,28.99,8.0,152.0,0
361,28,33.89,9.0,216.0,0
362,28,59.99,10.0,150.0,0
202,28,8.99,10.0,344.0,0
101,28,18.95,8.0,9.0,0
79,90,20.79,7.0,33.0,0
279,78,89.99,6.0,7.0,0
303,40,20.31,8.0,84.0,0
191,28,34.6,89.0,1833.0,0
58,28,38.14,10.0,725.0,0
40,28,16.89,10.0,551.0,0
113,40,12.95,5.0,24.0,0
185,28,49.81,3.0,30.0,0
